
2024/05/29 (16:00:46) | ===> btop++ v.1.3.2
2024/05/29 (16:00:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (17:11:10) | ===> btop++ v.1.3.2
2024/05/29 (17:11:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (18:35:26) | ===> btop++ v.1.3.2
2024/05/31 (18:35:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (18:40:27) | ===> btop++ v.1.3.2
2024/05/31 (18:40:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (18:45:06) | ===> btop++ v.1.3.2
2024/05/31 (18:45:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (11:32:09) | ===> btop++ v.1.3.2
2024/06/07 (11:32:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/07 (13:55:24) | ===> btop++ v.1.3.2
2024/06/07 (13:55:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (18:21:27) | ===> btop++ v.1.3.2
2024/06/21 (18:21:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/25 (21:41:34) | ===> btop++ v.1.3.2
2024/06/25 (21:41:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (13:13:11) | ===> btop++ v.1.3.2
2024/06/27 (13:13:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (13:08:54) | ===> btop++ v.1.3.2
2024/06/28 (13:08:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/17 (11:58:05) | ===> btop++ v.1.3.2
2024/07/17 (11:58:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/17 (12:00:16) | ===> btop++ v.1.3.2
2024/07/17 (12:00:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/17 (12:00:48) | ===> btop++ v.1.3.2
2024/07/17 (12:00:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (22:56:00) | ===> btop++ v.1.3.2
2024/07/20 (22:56:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (22:57:15) | ===> btop++ v.1.3.2
2024/07/20 (22:57:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
